ID,Value,Comment,Syntactic_Role,Particle
dados-09-simehtu-iwehtoponpe-p-028-042,n,,,
dados-09-simehtu-iwehtoponpe-p-028-043,n,,,
dados-09-simehtu-iwehtoponpe-p-028-044,n,,,
data-01-yakari-01-p-125-001,n,,,
data-01-yakari-01-p-125-002,n,,,
data-01-yakari-01-p-125-003,n,,,
data-01-yakari-01-p-125-005,n,,,
data-01-yakari-01-p-125-006,n,,,
data-01-yakari-01-p-125-008,n,,,
data-01-yakari-01-p-125-010,n,,,
data-01-yakari-01-p-125-011,n,,,
data-01-yakari-01-p-125-014,n,,,
data-01-yakari-01-p-125-015,n,,,
data-01-yakari-01-p-125-016,n,,,
data-01-yakari-01-p-125-017,n,,,
data-01-yakari-01-p-127-021,n,,,
data-01-yakari-01-p-127-022,y,[*mono*] V [*kïrïmuku*],s,
data-01-yakari-01-p-127-025,np_arg,DEM NP *se*!,,
data-01-yakari-01-p-127-028,n,,,
data-01-yakari-01-p-127-030,n,,,
data-01-yakari-01-p-127-031,n,,,
data-01-yakari-01-p-127-032,n,,,
data-01-yakari-01-p-129-036,n,,,
data-01-yakari-01-p-129-041,n,,,
data-01-yakari-01-p-129-042,n,,,
data-01-yakari-01-p-129-044,n,,,
data-01-yakari-01-p-129-047,n,,,
data-01-yakari-01-p-129-048,n,,,
data-01-yakari-01-p-131-049,n,,,
data-01-yakari-01-p-131-050,n,,,
data-01-yakari-01-p-131-052,n,,,
data-01-yakari-01-p-131-053,n,,,
data-01-yakari-01-p-131-057,n,,,
data-01-yakari-01-p-131-061,n,,,
data-01-yakari-01-p-133-064,n,,,
data-01-yakari-01-p-133-065,n,,,
data-01-yakari-01-p-133-067,n,,,
data-01-yakari-01-p-133-072,n,,,
data-01-yakari-01-p-133-073,n,,,
data-01-yakari-01-p-133-074,n,,,
data-01-yakari-01-p-135-075,n,,,
data-01-yakari-01-p-135-076,n,,,
data-01-yakari-01-p-135-077,n,,,
