ID,Value,Comment,Syntactic_Role,Pre_Screened
derbyshire-1965-p-016-the-origin-of-night-and-darkness-003,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-004,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-005,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-007,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-008,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-009,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-010,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-011,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-012,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-013,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-014,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-015,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-016,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-017,n,,,y
derbyshire-1965-p-016-the-origin-of-night-and-darkness-019,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-022,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-023,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-024,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-025,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-026,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-027,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-028,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-030,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-031,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-032,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-033,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-034,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-035,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-036,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-037,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-038,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-039,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-042,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-043,n,,,y
derbyshire-1965-p-017-the-origin-of-night-and-darkness-045,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-046,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-047,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-048,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-049,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-050,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-052,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-053,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-054,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-055,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-056,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-057,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-059,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-060,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-061,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-062,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-063,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-064,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-065,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-068,n,,,y
derbyshire-1965-p-018-the-origin-of-night-and-darkness-069,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-070,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-072,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-073,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-074,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-075,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-076,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-077,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-078,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-079,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-080,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-084,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-087,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-088,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-089,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-090,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-091,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-092,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-093,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-094,n,,,y
derbyshire-1965-p-019-the-origin-of-night-and-darkness-095,n,,,y
derbyshire-1965-p-020-the-origin-of-night-and-darkness-096,n,,,y
derbyshire-1965-p-020-the-origin-of-night-and-darkness-097,n,,,y
derbyshire-1965-p-020-the-origin-of-night-and-darkness-098,n,,,y
derbyshire-1965-p-020-the-origin-of-night-and-darkness-099,n,,,y
derbyshire-1965-p-020-the-origin-of-night-and-darkness-103,n,,,y
